"gene","sample_id","expressing_fraction","mean_expression"
"IGFBP4","BC11",0.737410071942446,0.79627508112516
"IGFBP4","BC12",0.789473684210526,0.934633774942325
"IGFBP4","BC17",0.518105849582173,0.510001849894696
"IDH3A","BC11",0.39568345323741,0.302533663114825
"IDH3A","BC12",0.189473684210526,0.0805724394581273
"IDH3A","BC17",0.610027855153203,0.674994014768945
"RGS16","BC11",0.161870503597122,0.118042522868358
"RGS16","BC12",0.105263157894737,0.0580527631593731
"RGS16","BC17",0.777158774373259,1.18794315602475
"GTF2I","BC11",0.845323741007194,0.992513378621664
"GTF2I","BC12",0.718421052631579,0.499479491749714
"GTF2I","BC17",0.88857938718663,1.30709447582536
"HSPD1","BC11",0.834532374100719,1.03885295271386
"HSPD1","BC12",0.944736842105263,1.26801777002377
"HSPD1","BC17",0.894150417827298,1.3642667419368
"CXCL17","BC11",0.0323741007194245,0.0221442417776556
